version	upstream_sha	upstream_file	cpp_type	cpp_field	declaration_line	configuration	rust_owner	rust_field	construction_and_publication	mutation_thread	submission_and_completion	destruction_order	null_and_failure	safe_rust_adaptation	status	evidence
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl::ContextOptions	disableFramebufferReads	104	all	crates/nuxie-renderer/src/native_metal/pipeline_cache.rs	NativeMetalContextOptions.disable_framebuffer_reads	Copied before capability selection and retained in the context-owned cache options.	Renderer recording thread; immutable after construction.	Affects macOS capability selection before target or pipeline publication; no completion transfer.	Copy value drops with the cache.	Ignored on pinned iOS branches; invalid platform use cannot mutate an existing context.	A typed bool is consumed before construction publication rather than mutating inherited platform features later.	prepared	rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:42-50
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl::ContextOptions	synthesizedFailureType	107	WITH_RIVE_TOOLS	-	-	Pinned ContextOptions stores the tools value, although the pinned implementation never reads the context-level field.	No Rust owner yet; source value would be immutable after construction.	No pinned submission or completion effect because the field has no reader.	No Rust destruction mapping exists yet.	Defaults to none; the per-flush failure value, not this field, drives source failure injection.	Preparation must either retain this inert tools field mechanically or record WITH_RIVE_TOOLS as an explicit excluded configuration; behavior must not be invented.	review-needed	cpp:renderer/include/rive/renderer/metal/render_context_metal_impl.h:106-109
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	RenderContextMetalImpl::DrawPipeline	m_pipelineStateRGBA8	399	all	crates/nuxie-renderer/src/native_metal/draw_pipeline.rs	DrawPipeline.pipeline_state_rgba8	RGBA state is created first and the pair is published only after BGRA creation succeeds; unavailable stores a nil pair.	Renderer recording/compiler realization thread; immutable after publication.	Selections clone the retained state into the prepared frame and Metal command ownership extends native use through completion.	Option releases with the DrawPipeline; failed BGRA creation drops the staged RGBA state before publication.	Missing library/function/state yields unavailable or a typed error and never a partial published pair.	Option Retained models the pinned nil failure pair and atomic publication.	prepared	rust:crates/nuxie-renderer/src/native_metal/draw_pipeline.rs:265-270
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/src/metal/render_context_metal_impl.mm	RenderContextMetalImpl::DrawPipeline	m_pipelineStateBGRA8	400	all	crates/nuxie-renderer/src/native_metal/draw_pipeline.rs	DrawPipeline.pipeline_state_bgra8	BGRA state is created second and the pair is published only after both states exist; unavailable stores a nil pair.	Renderer recording/compiler realization thread; immutable after publication.	Selections clone the retained state into the prepared frame and Metal command ownership extends native use through completion.	Option releases with the DrawPipeline; no partially initialized pair escapes.	Missing library/function/state yields unavailable or a typed error and never a partial published pair.	Option Retained models the pinned nil failure pair and atomic publication.	prepared	rust:crates/nuxie-renderer/src/native_metal/draw_pipeline.rs:265-270
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_contextOptions	235	all	crates/nuxie-renderer/src/native_metal/pipeline_cache.rs	CompatibleDrawPipelineCache.options	Options are copied before cache preloads and published with the complete context-owned cache.	Renderer recording thread; immutable after construction.	Compilation mode affects cache waiting; disable-framebuffer-reads is consumed during capability selection; no completion transfer.	Cache options drop after compiler/backend state according to the Rust cache owner.	Construction failure drops the unexposed cache; the tools-only field remains separately review-needed.	The option owner is nested in the deep cache instead of stored redundantly on NativeMetalContext.	prepared	rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:512-515
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_gpu	236	all	crates/nuxie-renderer/src/native_metal/context.rs	NativeMetalContext.device	Retained first by device-injected construction before libraries, pipelines, buffers, textures, and cache are built.	Renderer recording thread; immutable.	Frame resources and the pipeline backend hold independent retains through command completion and compiler shutdown.	Rust field order releases the context retain before later fields, but every dependent owner carries its own native retain.	A missing or mismatched device fails construction before context publication.	Retained protocol object makes ARC ownership explicit and prevents borrowed-device escape.	prepared	rust:crates/nuxie-renderer/src/native_metal/context.rs:226-248
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_commandQueue	237	all	crates/nuxie-renderer/src/native_metal/context.rs	NativeMetalContext.queue	A validated queue from the same concrete Metal service is retained during context construction.	Renderer recording thread; immutable in Rust after construction.	Each frame acquires one command buffer from this queue and completion retains the submitted command resources independently.	Context retain releases in Rust field order; submitted command buffers retain queue/device work independently.	Rust requires a non-null same-device queue up front instead of permitting the source's late nullable setter.	Eager validated injection is a documented fail-closed adaptation and prevents wrong-device queue mutation.	prepared	rust:crates/nuxie-renderer/src/native_metal/context.rs:226-248
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_metalFeatures	239	all	crates/nuxie-renderer/src/native_metal/context.rs	NativeMetalContext.capabilities.atomic_barrier_type	Capability selection completes before context construction and its result is copied into the context and compiler backend.	Renderer recording thread; immutable.	Barrier policy is read during encoding; the copied compiler policy survives independently through worker shutdown.	Plain capability values drop with context/cache owners.	Unsupported hardware/configuration returns typed construction or encoding errors rather than selecting WGPU.	The broader MetalCapabilitySelection deepens the one-field source struct while retaining the exact barrier discriminant.	prepared	rust:crates/nuxie-renderer/src/native_metal/context.rs:226-248;rust:crates/nuxie-renderer/src/native_metal/capabilities.rs:23-39
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_backgroundShaderCompiler	240	all	crates/nuxie-renderer/src/native_metal/pipeline_cache.rs	MetalPipelineCacheBackend.compiler	Created once inside the compatible-pipeline cache backend; worker starts lazily on first scheduled job.	Cache selection is renderer-thread serialized; worker owns compilation state.	Finished libraries route back into durable cache entries; drop signals quit and joins before backend release.	Nested backend drops with the cache and joins its worker before releasing the retained device callback.	Compiler panic or shader failure becomes a cached failed entry and does not publish a partial pipeline.	Deep-cache ownership prevents any second consumer from stealing FIFO/LIFO compiler completions.	prepared	rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:722-743
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_plsPrecompiledLibrary	241	all	crates/nuxie-renderer/src/native_metal/pipeline_cache.rs	MetalPipelineCacheBackend.precompiled_library	Platform metallib is loaded before preloads and retained by both the context provenance owner and cache backend.	Renderer recording thread; immutable.	Pipeline states retain compiled functions natively; the cache retains the library for later preload/lookups.	Cache backend releases its clone after compiler shutdown; the context provenance clone releases with NativeMetalContext.	Library load failure fails context construction rather than returning a partially initialized context.	Two Retained clones preserve one native library identity while separating provenance and cache ownership.	prepared	rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:722-743;rust:crates/nuxie-renderer/src/native_metal/context.rs:226-248
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_colorRampPipeline	246	all	crates/nuxie-renderer/src/native_metal/context.rs	NativeMetalContext.color_ramp_pipeline	Created from the resource metallib before context publication.	Renderer recording thread; immutable.	Prepared frames borrow the retained state for ramp encoding; Metal owns encoded state through completion.	Retained state releases with context after frames drop.	Missing shader or pipeline state aborts context construction.	Direct Retained pipeline state replaces the source nested unique_ptr leaf while preserving one context owner.	prepared	rust:crates/nuxie-renderer/src/native_metal/context.rs:226-248
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_gradientTexture	247	all	crates/nuxie-renderer/src/native_metal/context.rs	ResourceGeneration.gradient.texture	Initial one-row texture is built before context publication; resize stages a replacement generation before swap.	Renderer recording thread under resources mutex.	PreparedResourceLease retains the selected texture through command completion; later generations may replace the context owner.	Old generation releases only after every cloned lease drops.	Zero extent clears; allocation failure preserves the previously published generation.	Transactional generation replacement strengthens nullable direct mutation without changing successful identity/lifetime.	prepared	rust:crates/nuxie-renderer/src/native_metal/context.rs:77-88;rust:crates/nuxie-renderer/src/native_metal/gradient_resource.rs:55-57
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_gaussianIntegralTexture	250	all	crates/nuxie-renderer/src/native_metal/context.rs	NativeMetalContext.gaussian_integral_texture	Decoded and uploaded before context publication.	Renderer recording thread; immutable.	Bound frames rely on the context retain and Metal command ownership through synchronous or callback completion.	Retained texture releases with context after outstanding frame owners.	Decode or allocation failure aborts context construction.	Retained typed texture replaces nullable id; Rust refuses a partially initialized context.	prepared	rust:crates/nuxie-renderer/src/native_metal/context.rs:226-248
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_tessPipeline	254	all	crates/nuxie-renderer/src/native_metal/context.rs	NativeMetalContext.tessellate_pipeline	Created from the resource metallib before context publication.	Renderer recording thread; immutable.	Prepared frames borrow the retained state for tessellation encoding; Metal owns encoded state through completion.	Retained state releases with context after frames drop.	Missing shader or pipeline state aborts context construction.	Direct Retained pipeline state replaces the source nested unique_ptr leaf while preserving one context owner.	prepared	rust:crates/nuxie-renderer/src/native_metal/context.rs:226-248
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_tessSpanIndexBuffer	255	all	crates/nuxie-renderer/src/native_metal/context.rs	NativeMetalContext.tess_span_index_buffer	Created from the pinned static index bytes before context publication.	Renderer recording thread; immutable.	Encoder binding and command ownership retain the buffer through completion.	Retained buffer releases with context after outstanding commands.	Allocation failure aborts context construction.	Typed retained buffer and byte-exact source table replace nullable id.	prepared	rust:crates/nuxie-renderer/src/native_metal/context.rs:226-248
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_tessVertexTexture	256	all	crates/nuxie-renderer/src/native_metal/context.rs	ResourceGeneration.tessellation.texture	Initial one-row texture is built before context publication; resize stages a replacement generation before swap.	Renderer recording thread under resources mutex.	PreparedResourceLease retains the selected texture through command completion; later generations may replace the context owner.	Old generation releases only after every cloned lease drops.	Zero extent clears; allocation failure preserves the previously published generation.	Transactional generation replacement strengthens nullable direct mutation without changing successful identity/lifetime.	prepared	rust:crates/nuxie-renderer/src/native_metal/context.rs:77-88;rust:crates/nuxie-renderer/src/native_metal/tessellation_resource.rs:55-57
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_featherAtlasFillPipeline	260	all	crates/nuxie-renderer/src/native_metal/context.rs	ResourceGeneration.feather_atlas_pipelines.fill	Fill then stroke states are staged together on first atlas use and published only as a complete pair.	Renderer recording thread under resources mutex.	Prepared atlas leases clone the selected state through command completion.	Old pipeline generations release after the last prepared lease; no half-pair survives failure.	Fill failure publishes neither state; stroke failure drops staged fill before publication.	Transactional paired publication replaces the nested unique_ptr construction without partial state.	prepared	rust:crates/nuxie-renderer/src/native_metal/context.rs:77-88;rust:crates/nuxie-renderer/src/native_metal/feather_atlas_pipeline.rs:184-202
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_featherAtlasStrokePipeline	261	all	crates/nuxie-renderer/src/native_metal/context.rs	ResourceGeneration.feather_atlas_pipelines.stroke	Fill then stroke states are staged together on first atlas use and published only as a complete pair.	Renderer recording thread under resources mutex.	Prepared atlas leases clone the selected state through command completion.	Old pipeline generations release after the last prepared lease; no half-pair survives failure.	Stroke failure drops staged fill and publishes neither state.	Transactional paired publication replaces the nested unique_ptr construction without partial state.	prepared	rust:crates/nuxie-renderer/src/native_metal/context.rs:77-88;rust:crates/nuxie-renderer/src/native_metal/feather_atlas_pipeline.rs:184-202
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_featherAtlasTexture	262	all	crates/nuxie-renderer/src/native_metal/context.rs	ResourceGeneration.feather_atlas.texture	Starts absent; first use or growth stages a private texture and publishes with the resource generation.	Renderer recording thread under resources mutex.	PreparedResourceLease retains the selected texture through command completion.	Replaced generations release after their last lease; context drop releases the current generation.	Zero extent clears; allocation failure preserves the old generation.	Transactional replacement and retained leases make source nullable mutation fail closed.	prepared	rust:crates/nuxie-renderer/src/native_metal/context.rs:77-88;rust:crates/nuxie-renderer/src/native_metal/feather_atlas_resource.rs:55-57
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_imageSamplers	264	all	crates/nuxie-renderer/src/native_metal/samplers.rs	NativeMetalSamplers.samplers	All 18 source permutations are built in key order before context publication.	Renderer recording thread; immutable.	Selected sampler is encoded and retained natively through command completion.	Array elements release with the context-owned table.	Any missing sampler aborts construction; a wrong table length returns a typed error.	Fixed Rust array proves exact permutation count and prevents nullable slots.	prepared	rust:crates/nuxie-renderer/src/native_metal/samplers.rs:87-90
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_drawPipelines	266	all	crates/nuxie-renderer/src/native_metal/pipeline_cache.rs	CompatibleDrawPipelineCache.inner.entries	Seven raster ubershaders preload in source order; absent requests atomically insert one pending placeholder and publish ready or failed results by exact key.	Renderer recording thread serializes cache mutation; one worker publishes finished compile artifacts.	Prepared frames clone selected retained pipeline states; cache entries persist independently of frame/resource failures.	Cache drops after worker join; entry owners then release their pipeline pairs.	Failures are durable and never rescheduled; specialized failure falls back to the fully featured key.	Explicit Absent/Pending/Ready/Failed entries replace nullable unique_ptr map slots and prevent shallow parallel caches.	prepared	rust:crates/nuxie-renderer/src/native_metal/pipeline_cache.rs:503-515
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_pathPatchVertexBuffer	269	all	crates/nuxie-renderer/src/native_metal/context.rs	NativeMetalContext.path_patch_vertex_buffer	Created from pinned generated patch vertices before context publication.	Renderer recording thread; immutable.	Encoder binding and command ownership retain the buffer through completion.	Retained buffer releases with context after outstanding commands.	Allocation failure aborts context construction.	Typed retained buffer and byte-exact generated table replace nullable id.	prepared	rust:crates/nuxie-renderer/src/native_metal/context.rs:226-248
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_pathPatchIndexBuffer	270	all	crates/nuxie-renderer/src/native_metal/context.rs	NativeMetalContext.path_patch_index_buffer	Created from pinned generated patch indices before context publication.	Renderer recording thread; immutable.	Encoder binding and command ownership retain the buffer through completion.	Retained buffer releases with context after outstanding commands.	Allocation failure aborts context construction.	Typed retained buffer and byte-exact generated table replace nullable id.	prepared	rust:crates/nuxie-renderer/src/native_metal/context.rs:226-248
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_imageRectVertexBuffer	274	all	crates/nuxie-renderer/src/native_metal/context.rs	NativeMetalContext._image_rect_vertex_buffer	Created from pinned static image-rect vertices before context publication.	Renderer recording thread; immutable.	The owner is retained, but general imageRect encoding remains untranslated and is not yet a completion-path claim.	Retained buffer releases with context.	Allocation failure aborts construction; current general flush cannot consume it.	Leading underscore records a deliberately retained but currently unreachable source owner without suppressing the missing draw branch.	prepared	rust:crates/nuxie-renderer/src/native_metal/context.rs:226-248
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_imageRectIndexBuffer	275	all	crates/nuxie-renderer/src/native_metal/context.rs	NativeMetalContext._image_rect_index_buffer	Created from pinned static image-rect indices before context publication.	Renderer recording thread; immutable.	The owner is retained, but general imageRect encoding remains untranslated and is not yet a completion-path claim.	Retained buffer releases with context.	Allocation failure aborts construction; current general flush cannot consume it.	Leading underscore records a deliberately retained but currently unreachable source owner without suppressing the missing draw branch.	prepared	rust:crates/nuxie-renderer/src/native_metal/context.rs:226-248
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_bufferRingLocks	279	all	crates/nuxie-renderer/src/native_metal/buffer_ring_coordinator.rs	BufferRingCoordinator.shared.state.outstanding	Coordinator construction creates three empty logical reservations; each prepare atomically reserves the next slot.	Renderer producer mutates under Mutex; completion may release from the Metal callback thread.	Pre-submit lease transfers exactly once to a completion owner; callback release wakes blocked producers after success or failure.	Arc shared state outlives context when completion owns it and releases after the last lease/completion.	Poison recovery preserves outstanding slots; uncertain completion can leak capacity but never reuse in-flight storage early.	One mutex plus per-slot reservation identities replaces three held mutex guards while preserving exclusive ring ownership.	prepared	rust:crates/nuxie-renderer/src/native_metal/buffer_ring_coordinator.rs:23-35;rust:crates/nuxie-renderer/src/native_metal/buffer_ring_coordinator.rs:81-99
1	4ac7b32798da0482e441ef09304dc3b480ed3ee5	renderer/include/rive/renderer/metal/render_context_metal_impl.h	RenderContextMetalImpl	m_bufferRingIdx	280	all	crates/nuxie-renderer/src/native_metal/buffer_ring_coordinator.rs	BufferRingCoordinator.shared.state.current_slot	Initialized to source slot zero and advanced 1,2,0 only after the next slot becomes available.	Renderer producer mutates under Mutex.	Slot identity transfers with the lease/completion and becomes reusable only after exact release.	Shared state survives context drop while any submitted completion remains.	Reservation mismatch or double release is rejected; poisoned state never advances unsafely.	usize current_slot plus checked modulo replaces signed int while preserving the three-slot sequence.	prepared	rust:crates/nuxie-renderer/src/native_metal/buffer_ring_coordinator.rs:29-35;rust:crates/nuxie-renderer/src/native_metal/buffer_ring_coordinator.rs:81-99
